Emotions,Path
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-06-02-01-02-02.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-06-02-02-01-02.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-06-02-02-02-02.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-07-01-01-01-02.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-07-01-01-02-02.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-07-01-02-01-02.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-07-01-02-02-02.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-07-02-01-01-02.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-07-02-01-02-02.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-07-02-02-01-02.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-07-02-02-02-02.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-08-01-01-01-02.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-08-01-01-02-02.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-08-01-02-01-02.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-08-01-02-02-02.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-08-02-01-01-02.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-08-02-01-02-02.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-08-02-02-01-02.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_02/03-01-08-02-02-02-02.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-01-01-01-01-03.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-01-01-01-02-03.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-01-01-02-01-03.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-01-01-02-02-03.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-02-01-01-01-03.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-02-01-01-02-03.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-02-01-02-01-03.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-02-01-02-02-03.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-02-02-01-01-03.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-02-02-01-02-03.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-02-02-02-01-03.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-02-02-02-02-03.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-03-01-01-01-03.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-03-01-01-02-03.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-03-01-02-01-03.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-03-01-02-02-03.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-03-02-01-01-03.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-03-02-01-02-03.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-03-02-02-01-03.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-03-02-02-02-03.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-04-01-01-01-03.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-04-01-01-02-03.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-04-01-02-01-03.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-04-01-02-02-03.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-04-02-01-01-03.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-04-02-01-02-03.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-04-02-02-01-03.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-04-02-02-02-03.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-05-01-01-01-03.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-05-01-01-02-03.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-05-01-02-01-03.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-05-01-02-02-03.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-05-02-01-01-03.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-05-02-01-02-03.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-05-02-02-01-03.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-05-02-02-02-03.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-06-01-01-01-03.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-06-01-01-02-03.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-06-01-02-01-03.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-06-01-02-02-03.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-06-02-01-01-03.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-06-02-01-02-03.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-06-02-02-01-03.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-06-02-02-02-03.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-07-01-01-01-03.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-07-01-01-02-03.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-07-01-02-01-03.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-07-01-02-02-03.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-07-02-01-01-03.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-07-02-01-02-03.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-07-02-02-01-03.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-07-02-02-02-03.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-08-01-01-01-03.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-08-01-01-02-03.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-08-01-02-01-03.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-08-01-02-02-03.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-08-02-01-01-03.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-08-02-01-02-03.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-08-02-02-01-03.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_03/03-01-08-02-02-02-03.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-01-01-01-01-04.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-01-01-01-02-04.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-01-01-02-01-04.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-01-01-02-02-04.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-02-01-01-01-04.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-02-01-01-02-04.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-02-01-02-01-04.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-02-01-02-02-04.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-02-02-01-01-04.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-02-02-01-02-04.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-02-02-02-01-04.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-02-02-02-02-04.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-03-01-01-01-04.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-03-01-01-02-04.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-03-01-02-01-04.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-03-01-02-02-04.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-03-02-01-01-04.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-03-02-01-02-04.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-03-02-02-01-04.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-03-02-02-02-04.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-04-01-01-01-04.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-04-01-01-02-04.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-04-01-02-01-04.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-04-01-02-02-04.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-04-02-01-01-04.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-04-02-01-02-04.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-04-02-02-01-04.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-04-02-02-02-04.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-05-01-01-01-04.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-05-01-01-02-04.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-05-01-02-01-04.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-05-01-02-02-04.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-05-02-01-01-04.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-05-02-01-02-04.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-05-02-02-01-04.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-05-02-02-02-04.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-06-01-01-01-04.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-06-01-01-02-04.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-06-01-02-01-04.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-06-01-02-02-04.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-06-02-01-01-04.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-06-02-01-02-04.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-06-02-02-01-04.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-06-02-02-02-04.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-07-01-01-01-04.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-07-01-01-02-04.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-07-01-02-01-04.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-07-01-02-02-04.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-07-02-01-01-04.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-07-02-01-02-04.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-07-02-02-01-04.wav
disgusted,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-07-02-02-02-04.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-08-01-01-01-04.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-08-01-01-02-04.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-08-01-02-01-04.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-08-01-02-02-04.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-08-02-01-01-04.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-08-02-01-02-04.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-08-02-02-01-04.wav
surprised,C:\Users\jeeva\Music\audio_speech_actors/Actor_04/03-01-08-02-02-02-04.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-01-01-01-01-05.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-01-01-01-02-05.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-01-01-02-01-05.wav
neutral,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-01-01-02-02-05.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-02-01-01-01-05.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-02-01-01-02-05.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-02-01-02-01-05.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-02-01-02-02-05.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-02-02-01-01-05.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-02-02-01-02-05.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-02-02-02-01-05.wav
calm,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-02-02-02-02-05.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-03-01-01-01-05.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-03-01-01-02-05.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-03-01-02-01-05.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-03-01-02-02-05.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-03-02-01-01-05.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-03-02-01-02-05.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-03-02-02-01-05.wav
happy,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-03-02-02-02-05.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-04-01-01-01-05.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-04-01-01-02-05.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-04-01-02-01-05.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-04-01-02-02-05.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-04-02-01-01-05.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-04-02-01-02-05.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-04-02-02-01-05.wav
sad,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-04-02-02-02-05.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-05-01-01-01-05.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-05-01-01-02-05.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-05-01-02-01-05.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-05-01-02-02-05.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-05-02-01-01-05.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-05-02-01-02-05.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-05-02-02-01-05.wav
angry,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-05-02-02-02-05.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-06-01-01-01-05.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-06-01-01-02-05.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-06-01-02-01-05.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-06-01-02-02-05.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-06-02-01-01-05.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-06-02-01-02-05.wav
fear,C:\Users\jeeva\Music\audio_speech_actors/Actor_05/03-01-06-02-02-01-05.wav
